word_id,spanish,romanization,english,italian,unlock_level
es_382,flor,,flower,fiore,77
es_383,hierba,,grass,erba,77
es_384,montaña,,mountain,montagna,77
es_385,río,,river,fiume,77
es_386,mar,,sea,mare,78
es_387,lago,,lake,lago,78
es_388,bosque,,forest,foresta,78
es_389,playa,,beach,spiaggia,78
es_390,cielo,,sky,cielo,78
es_391,treinta,,thirty,trenta,79
es_392,cuarenta,,forty,quaranta,79
es_393,cincuenta,,fifty,cinquanta,79
es_394,cien,,hundred,cento,79
es_395,mil,,thousand,mille,79
es_396,gris,,grey,grigio,80
es_397,primero,,first,primo,80
es_398,último,,last,ultimo,80
es_399,mitad,,half,metà,80
es_400,número,,number,numero,80
es_401,asustado,,afraid,spaventato,81
es_402,sorprendido,,surprised,sorpreso,81
es_403,aburrido,,bored,annoiato,81
es_404,tranquilo,,calm,calmo,81
es_405,orgulloso,,proud,fiero,81
es_406,fuerte,,strong,forte,82
es_407,débil,,weak,debole,82
es_408,hermoso,,beautiful,stupendo,82
es_409,feo,,ugly,brutto,82
es_410,joven,,young,giovane,82
es_411,rico,,rich,ricco,83
es_412,pobre,,poor,povero,83
es_413,limpio,,clean,pulito,83
es_414,sucio,,dirty,sporco,83
es_415,divertido,,funny,divertente,83
es_416,carretera,,road,via,84
es_417,puente,,bridge,ponte,84
es_418,taxi,,taxi,taxi,84
es_419,equipaje,,luggage,bagaglio,84
es_420,pasaporte,,passport,passaporto,84
es_421,vuelo,,flight,volo,85
es_422,asiento,,seat,posto,85
es_423,conductor,,driver,autista,85
es_424,tráfico,,traffic,traffico,85
es_425,viaje,,journey,viaggio,85
es_426,bolígrafo,,pen,penna,86
es_427,lápiz,,pencil,matita,86
es_428,papel,,paper,carta,86
es_429,cuaderno,,notebook,quaderno,86
es_430,escritorio,,desk,scrivania,86
es_431,reunión,,meeting,riunione,87
es_432,correo,,email,email,87
es_433,jefe,,boss,capo,87
es_434,salario,,salary,stipendio,87
es_435,empresa,,company,azienda,87
es_436,brazo,,arm,braccio,88
es_437,pierna,,leg,gamba,88
es_438,dedo,,finger,dito,88
es_439,espalda,,back,schiena,88
es_440,corazón,,heart,cuore,88
es_441,abrigo,,coat,cappotto,89
es_442,falda,,skirt,gonna,89
es_443,calcetín,,sock,calzino,89
es_444,guante,,glove,guanto,89
es_445,bufanda,,scarf,sciarpa,89
es_446,medicamento,,medicine,medicina,90
es_447,fiebre,,fever,febbre,90
es_448,dolor,,pain,dolore,90
es_449,tos,,cough,tosse,90
es_450,sangre,,blood,sangue,90
es_451,efectivo,,cash,contanti,91
es_452,tarjeta de crédito,,credit card,carta di credito,91
es_453,descuento,,discount,sconto,91
es_454,cliente,,customer,cliente,91
es_455,regalo,,gift,regalo,91
es_456,música,,music,musica,92
es_457,canción,,song,canzone,92
es_458,película,,film,film,92
es_459,juego,,game,gioco,92
es_460,fiesta,,party,festa,92
es_461,fútbol,,football,calcio,93
es_462,tenis,,tennis,tennis,93
es_463,deporte,,sport,sport,93
es_464,equipo,,team,squadra,93
es_465,pelota,,ball,palla,93
es_466,guitarra,,guitar,chitarra,94
es_467,piano,,piano,pianoforte,94
es_468,foto,,photo,foto,94
es_469,afición,,hobby,hobby,94
es_470,vacaciones,,holiday,vacanza,94
es_471,internet,,internet,internet,95
es_472,sitio web,,website,sito,95
es_473,contraseña,,password,password,95
es_474,pantalla,,screen,schermo,95
es_475,teclado,,keyboard,tastiera,95
es_476,mensaje,,message,messaggio,96
es_477,noticias,,news,notizie,96
es_478,televisión,,television,televisione,96
es_479,radio,,radio,radio,96
es_480,cámara,,camera,macchina fotografica,96
es_481,también,,also,anche,97
es_482,solamente,,only,solo,97
es_483,muy,,very,molto,97
es_484,quizás,,maybe,forse,97
es_485,ya,,already,già,97
es_486,enero,,January,gennaio,98
es_487,febrero,,February,febbraio,98
es_488,marzo,,March,marzo,98
es_489,abril,,April,aprile,98
es_490,mayo,,May,maggio,98
es_491,junio,,June,giugno,99
es_492,julio,,July,luglio,99
es_493,agosto,,August,agosto,99
es_494,septiembre,,September,settembre,99
es_495,octubre,,October,ottobre,99
es_496,noviembre,,November,novembre,100
es_497,diciembre,,December,dicembre,100
es_498,fecha,,date,data,100
es_499,calendario,,calendar,calendario,100
es_500,cumpleaños,,birthday,compleanno,100
