word_id,italian,romanization,english,unlock_level
it_128,pesce,,fish,26
it_129,carne,,meat,26
it_130,zuppa,,soup,26
it_131,mela,,apple,27
it_132,banana,,banana,27
it_133,arancia,,orange fruit,27
it_134,patata,,potato,27
it_135,carota,,carrot,27
it_136,tè,,tea,28
it_137,latte,,milk,28
it_138,succo,,juice,28
it_139,colazione,,breakfast,28
it_140,pranzo,,lunch,28
it_141,cena,,dinner,29
it_142,sale,,salt,29
it_143,zucchero,,sugar,29
it_144,piatto,,plate,29
it_145,bicchiere,,glass,29
it_146,testa,,head,30
it_147,mano,,hand,30
it_148,piede,,foot,30
it_149,occhio,,eye,30
it_150,orecchio,,ear,30
it_151,naso,,nose,31
it_152,bocca,,mouth,31
it_153,capelli,,hair,31
it_154,giacca,,jacket,31
it_155,scarpe,,shoes,31
it_156,pantaloni,,pants,32
it_157,camicia,,shirt,32
it_158,vestito,,dress,32
it_159,cappello,,hat,32
it_160,maglione,,sweater,32
it_161,secondo,,second,33
it_162,ora,,hour,33
it_163,minuto,,minute,33
it_164,anno,,year,33
it_165,fine settimana,,weekend,33
it_166,lunedì,,Monday,34
it_167,martedì,,Tuesday,34
it_168,mercoledì,,Wednesday,34
it_169,giovedì,,Thursday,34
it_170,venerdì,,Friday,34
it_171,sabato,,Saturday,35
it_172,domenica,,Sunday,35
it_173,primavera,,spring,35
it_174,estate,,summer,35
it_175,autunno,,autumn,35
it_176,inverno,,winter,36
it_177,sole,,sun,36
it_178,pioggia,,rain,36
it_179,neve,,snow,36
it_180,vento,,wind,36
it_181,bello,,nice,37
it_182,nuvoloso,,cloudy,37
it_183,sereno,,clear,37
it_184,secco,,dry,37
it_185,bagnato,,wet,37
it_186,treno,,train,38
it_187,autobus,,bus,38
it_188,aereo,,plane,38
it_189,bicicletta,,bicycle,38
it_190,barca,,boat,38
it_191,stazione,,station,39
it_192,aeroporto,,airport,39
it_193,biglietto,,ticket,39
it_194,mappa,,map,39
it_195,hotel,,hotel,39
it_196,sinistra,,left,40
it_197,destra,,right,40
it_198,dritto,,straight ahead,40
it_199,vicino,,near,40
it_200,lontano,,far,40
it_201,undici,,eleven,41
it_202,dodici,,twelve,41
it_203,tredici,,thirteen,41
it_204,quattordici,,fourteen,41
it_205,quindici,,fifteen,41
it_206,sedici,,sixteen,42
it_207,diciassette,,seventeen,42
it_208,diciotto,,eighteen,42
it_209,diciannove,,nineteen,42
it_210,venti,,twenty,42
it_211,nonno,,grandfather,43
it_212,genitori,,parents,43
it_213,figlio,,son,43
it_214,figlia,,daughter,43
it_215,marito,,husband,43
it_216,insegnante,,teacher,44
it_217,studente,,student,44
it_218,medico,,doctor,44
it_219,infermiera,,nurse,44
it_220,polizia,,police,44
it_221,lavoro,,job,45
it_222,ufficio,,office,45
it_223,classe,,class,45
it_224,compito,,homework,45
it_225,test,,test,45
it_226,dormire,,to sleep,46
it_227,svegliarsi,,to wake up,46
it_228,lavorare,,to work,46
it_229,studiare,,to study,46
it_230,imparare,,to learn,46
it_231,guidare,,to drive,47
it_232,viaggiare,,to travel,47
it_233,aspettare,,to wait,47
it_234,trovare,,to find,47
it_235,incontrare,,to meet,47
it_236,piacere,,to like,48
it_237,amare,,to love,48
it_238,volere,,to want,48
it_239,avere bisogno,,to need,48
it_240,comprare,,to buy,48
it_241,vendere,,to sell,49
it_242,pagare,,to pay,49
it_243,aprire,,to open,49
it_244,chiudere,,to close,49
it_245,lavare,,to wash,49
it_246,vedere,,to see,50
it_247,sentire,,to hear,50
it_248,dire,,to say,50
it_249,chiedere,,to ask,50
it_250,rispondere,,to answer,50
it_251,felice,,happy,51
it_252,triste,,sad,51
it_253,arrabbiato,,angry,51
it_254,stanco,,tired,51
it_255,malato,,sick,51
it_256,facile,,easy,52
it_257,difficile,,difficult,52
it_258,costoso,,expensive,52
it_259,economico,,cheap,52
it_260,gratis,,free,52
it_261,molti,,many,53
it_262,pochi,,few,53
it_263,più,,more,53
it_264,meno,,less,53
it_265,abbastanza,,enough,53
it_266,spesso,,often,54
it_267,mai,,never,54
it_268,a volte,,sometimes,54
it_269,presto,,early,54
it_270,tardi,,late,54
it_271,questo,,this common,55
it_272,questo,,this neuter,55
it_273,questi,,these,55
it_274,stesso,,same,55
it_275,altro,,other,55
it_276,arrivederci,,bye,56
it_277,buongiorno,,good morning,56
it_278,buonasera,,good evening,56
it_279,buonanotte,,good night,56
it_280,benvenuto,,welcome,56
it_281,ecco a te,,here you are,57
it_282,mille grazie,,many thanks,57
it_283,va bene,,it is fine,57
it_284,vero,,that's right,57
it_285,certo,,of course,57
it_286,farmacia,,pharmacy,58
it_287,ospedale,,hospital,58
it_288,dentista,,dentist,58
it_289,aiuto,,help,58
it_290,problema,,problem,58
it_291,prezzo,,price,59
it_292,soldi,,money,59
it_293,ricevuta,,receipt,59
it_294,sacchetto,,plastic bag,59
it_295,taglia,,size,59
it_296,telefono,,phone,60
it_297,computer,,computer,60
it_298,chiave,,key,60
it_299,orologio,,clock,60
it_300,borsa,,bag,60
it_301,dare,,to give,61
it_302,prendere,,to take,61
it_303,mettere,,to put,61
it_304,cominciare,,to begin,61
it_305,finire,,to finish,61
it_306,sapere,,to know,62
it_307,pensare,,to think,62
it_308,capire,,to understand,62
it_309,ricordare,,to remember,62
it_310,dimenticare,,to forget,62
it_311,aiutare,,to help,63
it_312,chiamare,,to call,63
it_313,inviare,,to send,63
it_314,perdere,,to lose,63
it_315,vincere,,to win,63
it_316,arrivare,,to arrive,64
it_317,entrare,,to enter,64
it_318,partire,,to depart,64
it_319,abitare,,to live,64
it_320,camminare,,to walk,64
it_321,correre,,to run,65
it_322,nuotare,,to swim,65
it_323,saltare,,to jump,65
it_324,ballare,,to dance,65
it_325,cantare,,to sing,65
it_326,giocare,,to play,66
it_327,cucinare,,to cook,66
it_328,pulire,,to clean,66
it_329,costruire,,to build,66
it_330,cambiare,,to change,66
it_331,riso,,rice,67
it_332,pasta,,pasta,67
it_333,pollo,,chicken,67
it_334,manzo,,beef,67
it_335,carne di maiale,,pork,67
it_336,burro,,butter,68
it_337,olio,,oil,68
it_338,pepe,,pepper,68
it_339,cipolla,,onion,68
it_340,pomodoro,,tomato,68
it_341,aglio,,garlic,69
it_342,limone,,lemon,69
it_343,fragola,,strawberry,69
it_344,uva,,grape,69
it_345,torta,,cake,69
it_346,cioccolato,,chocolate,70
it_347,gelato,,ice cream,70
it_348,vino,,wine,70
it_349,birra,,beer,70
it_350,bottiglia,,bottle,70
it_351,tavolo,,table,71
it_352,sedia,,chair,71
it_353,letto,,bed,71
it_354,porta,,door,71
it_355,finestra,,window,71
it_356,muro,,wall,72
it_357,pavimento,,floor,72
it_358,tetto,,roof,72
it_359,giardino,,garden,72
it_360,garage,,garage,72
it_361,lampada,,lamp,73
it_362,specchio,,mirror,73
it_363,asciugamano,,towel,73
it_364,sapone,,soap,73
it_365,frigorifero,,fridge,73
it_366,forno,,oven,74
it_367,divano,,sofa,74
it_368,scaffale,,shelf,74
it_369,scale,,stairs,74
it_370,ascensore,,elevator,74
it_371,cane,,dog,75
it_372,gatto,,cat,75
it_373,uccello,,bird,75
it_374,cavallo,,horse,75
it_375,mucca,,cow,75
it_376,pecora,,sheep,76
it_377,maiale,,pig,76
it_378,gallina,,hen,76
it_379,topo,,mouse,76
it_380,coniglio,,rabbit,76
it_381,albero,,tree,77
it_382,fiore,,flower,77
it_383,erba,,grass,77
it_384,montagna,,mountain,77
it_385,fiume,,river,77
it_386,mare,,sea,78
it_387,lago,,lake,78
it_388,foresta,,forest,78
it_389,spiaggia,,beach,78
it_390,cielo,,sky,78
it_391,trenta,,thirty,79
it_392,quaranta,,forty,79
it_393,cinquanta,,fifty,79
it_394,cento,,hundred,79
it_395,mille,,thousand,79
it_396,grigio,,grey,80
it_397,primo,,first,80
it_398,ultimo,,last,80
it_399,metà,,half,80
it_400,numero,,number,80
it_401,spaventato,,afraid,81
it_402,sorpreso,,surprised,81
it_403,annoiato,,bored,81
it_404,calmo,,calm,81
it_405,fiero,,proud,81
it_406,forte,,strong,82
it_407,debole,,weak,82
it_408,stupendo,,beautiful,82
it_409,brutto,,ugly,82
it_410,giovane,,young,82
it_411,ricco,,rich,83
it_412,povero,,poor,83
it_413,pulito,,clean,83
it_414,sporco,,dirty,83
it_415,divertente,,funny,83
it_416,via,,road,84
it_417,ponte,,bridge,84
it_418,taxi,,taxi,84
it_419,bagaglio,,luggage,84
it_420,passaporto,,passport,84
it_421,volo,,flight,85
it_422,posto,,seat,85
it_423,autista,,driver,85
it_424,traffico,,traffic,85
it_425,viaggio,,journey,85
it_426,penna,,pen,86
it_427,matita,,pencil,86
it_428,carta,,paper,86
it_429,quaderno,,notebook,86
it_430,scrivania,,desk,86
it_431,riunione,,meeting,87
it_432,email,,email,87
it_433,capo,,boss,87
it_434,stipendio,,salary,87
it_435,azienda,,company,87
it_436,braccio,,arm,88
it_437,gamba,,leg,88
it_438,dito,,finger,88
it_439,schiena,,back,88
it_440,cuore,,heart,88
it_441,cappotto,,coat,89
it_442,gonna,,skirt,89
it_443,calzino,,sock,89
it_444,guanto,,glove,89
it_445,sciarpa,,scarf,89
it_446,medicina,,medicine,90
it_447,febbre,,fever,90
it_448,dolore,,pain,90
it_449,tosse,,cough,90
it_450,sangue,,blood,90
it_451,contanti,,cash,91
it_452,carta di credito,,credit card,91
it_453,sconto,,discount,91
it_454,cliente,,customer,91
it_455,regalo,,gift,91
it_456,musica,,music,92
it_457,canzone,,song,92
it_458,film,,film,92
it_459,gioco,,game,92
it_460,festa,,party,92
it_461,calcio,,football,93
it_462,tennis,,tennis,93
it_463,sport,,sport,93
it_464,squadra,,team,93
it_465,palla,,ball,93
it_466,chitarra,,guitar,94
it_467,pianoforte,,piano,94
it_468,foto,,photo,94
it_469,hobby,,hobby,94
it_470,vacanza,,holiday,94
it_471,internet,,internet,95
it_472,sito,,website,95
it_473,password,,password,95
it_474,schermo,,screen,95
it_475,tastiera,,keyboard,95
it_476,messaggio,,message,96
it_477,notizie,,news,96
it_478,televisione,,television,96
it_479,radio,,radio,96
it_480,macchina fotografica,,camera,96
it_481,anche,,also,97
it_482,solo,,only,97
it_483,molto,,very,97
it_484,forse,,maybe,97
it_485,già,,already,97
it_486,gennaio,,January,98
it_487,febbraio,,February,98
it_488,marzo,,March,98
it_489,aprile,,April,98
it_490,maggio,,May,98
it_491,giugno,,June,99
it_492,luglio,,July,99
it_493,agosto,,August,99
it_494,settembre,,September,99
it_495,ottobre,,October,99
it_496,novembre,,November,100
it_497,dicembre,,December,100
it_498,data,,date,100
it_499,calendario,,calendar,100
it_500,compleanno,,birthday,100
